[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BiteBloodJuicy_ZA01.34.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:bite, keyword:sfx:blood] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodGutsSpill_S08HO.3.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood, keyword:sfx:guts] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodHeavySplat_S011HO.7.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-splatter] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrips_SFXB.1293.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-spill] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.10.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.11.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.12.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.13.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.14.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.15.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.17.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.16.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.8.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillDrip_S011HO.9.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-drip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpillSplat_S08HO.6.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-splatter] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpill_S08HO.7.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-spill] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSpill_S08HO.8.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-spill] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSquirtSpill_S011HO.19.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-squirt] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSquirtSpill_S011HO.21.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-squirt] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSquirtSpill_S011HO.22.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-squirt] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSquirtSpill_S011HO.20.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-squirt] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSquirtSpill_S011HO.23.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-squirt] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: BloodSquirtHeavy_S011HO.18.wav | Genre: [genre:sound-design:horror] | Mood: [mood:gruesome, mood:violent] | Occasion: [occasion:horror, occasion:jump-scare] | Keywords: [keyword:sfx:blood-squirt] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: CrunchSplatJuicy_SFXB.1315.wav | Genre: [genre:sound-design:impacts] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:combat, occasion:jump-scare] | Keywords: [keyword:sfx:crunch, keyword:sfx:splat] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: EyeBallGouge_BW.12138.wav | Genre: [genre:sound-design:impacts] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:combat, occasion:jump-scare] | Keywords: [keyword:sfx:body-horror, keyword:sfx:gouge] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: EyeBallGouge_BW.12139.wav | Genre: [genre:sound-design:impacts] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:combat, occasion:jump-scare] | Keywords: [keyword:sfx:body-horror, keyword:sfx:gouge] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: EyeBallGouge_ZA01.239.wav | Genre: [genre:sound-design:impacts] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:combat, occasion:jump-scare] | Keywords: [keyword:sfx:body-horror, keyword:sfx:gouge] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: EyeBallStab_ZA01.240.wav | Genre: [genre:sound-design:impacts] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:combat, occasion:jump-scare] | Keywords: [keyword:sfx:body-horror, keyword:sfx:stab] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: EyeGougedSquish_S08HO.92.wav | Genre: [genre:sound-design:impacts] | Mood: [mood:creepy, mood:gruesome] | Occasion: [occasion:combat, occasion:jump-scare] | Keywords: [keyword:sfx:body-horror, keyword:sfx:squish] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GlassWipeBloody_BW.12307.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:blood, keyword:sfx:wipe] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GlassWipeBloody_BW.12308.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:blood, keyword:sfx:wipe] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GlassWipeBloody_BW.12309.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:blood, keyword:sfx:wipe] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsMovement_BW.12320.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:movement, keyword:sfx:organic] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsMovement_BW.12321.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:movement, keyword:sfx:organic] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsMovement_BW.12322.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:movement, keyword:sfx:organic] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsMovement_BW.12323.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:movement, keyword:sfx:organic] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsMovement_BW.12324.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:movement, keyword:sfx:organic] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsMovement_ZA01.328.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:movement, keyword:sfx:organic] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsMovement_ZA01.329.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:movement, keyword:sfx:organic] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsRipOut_BW.12325.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:organic, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsRipOut_BW.12326.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:organic, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsRipOut_BW.12327.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:organic, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsSpatterBlood_SFXB.1377.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:blood, keyword:sfx:splatter] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsSpill_AP1.1144.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:organic, keyword:sfx:spill] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsSplatterBlood_SFXB.1378.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:blood, keyword:sfx:splatter] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsSplatter_ZA01.330.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:blood, keyword:sfx:splatter] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsSquishInsect_S08HO.127.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:insect, keyword:sfx:squish] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsSqueezeDrip_S08HO.126.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:drip, keyword:sfx:organic] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsSquish_BW.13315.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:squish] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsSquish_BW.13316.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:squish] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: GutsSquish_BW.13317.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:squish] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: HairRipOutScalp_ZA01.331.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:hair, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: HairRipOut_BW.12337.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:hair, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: HairRipOut_BW.12339.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:hair, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: HairRipOut_BW.12338.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:hair, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: HairRipOut_BW.12340.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:hair, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: HairRipOut_BW.12341.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:hair, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: HairRipOut_BW.12342.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:hair, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: HeadTwistOffSlow_ZA02.335.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:death, occasion:jump-scare] | Keywords: [keyword:sfx:bone, keyword:sfx:twist] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: HairRipOut_BW.12343.wav | Genre: [genre:sound-design:foley] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare, occasion:mystery-sting] | Keywords: [keyword:sfx:hair, keyword:sfx:rip] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: IntestinesMovement_ZA02.352.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare] | Keywords: [keyword:sfx:body] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: IntestinesRemove_ZA02.353.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare] | Keywords: [keyword:sfx:body] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: IntestinesRemove_ZA02.354.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare] | Keywords: [keyword:sfx:body] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: IntestinesRipOut_ZA02.355.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare] | Keywords: [keyword:sfx:body] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: KnifeRemoveFromFlesh_BW.123.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare] | Keywords: [keyword:sfx:flesh, keyword:sfx:knife] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: KnifeRemoveFromFlesh_BW.124.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare] | Keywords: [keyword:sfx:flesh, keyword:sfx:knife] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: KnifeRemoveFromFlesh_BW.1_1.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare] | Keywords: [keyword:sfx:flesh, keyword:sfx:knife] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: KnifeRemoveFromFlesh_ZA02.3.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare] | Keywords: [keyword:sfx:flesh, keyword:sfx:knife] | Other: []
[2025-09-01][18:30:57][ligeia::virtual_folder_handler][INFO] UNASSIGNED: KnifeScrapeBlade_ZA02.357.wav | Genre: [genre:sound-design:horror] | Mood: [mood:creepy, mood:unsettling] | Occasion: [occasion:jump-scare] | Keywords: [keyword:sfx:knife] | Other: []
